iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,4991084,0
1,2,java,83876667,0
2,1,grep,5450042,0
2,2,java,84289666,0
3,1,grep,5395042,0
3,2,java,82665084,0
4,1,grep,6157917,0
4,2,java,82311958,0
5,1,grep,5460708,0
5,2,java,81983583,0
6,1,java,82670083,0
6,2,grep,5332166,0
7,1,grep,4829625,0
7,2,java,82096458,0
8,1,grep,5265708,0
8,2,java,85711833,0
9,1,grep,5762084,0
9,2,java,84727542,0
10,1,grep,5655291,0
10,2,java,83038291,0
11,1,grep,5513166,0
11,2,java,83472000,0
12,1,grep,5302500,0
12,2,java,84085584,0
13,1,grep,5847750,0
13,2,java,72979792,0
14,1,java,81293208,0
14,2,grep,5633917,0
15,1,grep,4743834,0
15,2,java,70622875,0
16,1,java,83292250,0
16,2,grep,5598166,0
17,1,java,85613083,0
17,2,grep,5462459,0
18,1,grep,4601500,0
18,2,java,81659083,0
19,1,grep,5840250,0
19,2,java,69993375,0
20,1,java,81282917,0
20,2,grep,5450042,0
