iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,5547250,1050
1,2,java,90432291,1050
2,1,grep,6499417,1050
2,2,java,94373625,1050
3,1,grep,6085500,1050
3,2,java,94529584,1050
4,1,grep,6027542,1050
4,2,java,89986834,1050
5,1,grep,5789166,1050
5,2,java,88657167,1050
6,1,java,90839167,1050
6,2,grep,6104584,1050
7,1,grep,5417875,1050
7,2,java,91951750,1050
8,1,grep,6123917,1050
8,2,java,92937625,1050
9,1,grep,6261000,1050
9,2,java,93133416,1050
10,1,grep,6229750,1050
10,2,java,92198000,1050
11,1,grep,6113541,1050
11,2,java,92939750,1050
12,1,grep,6019000,1050
12,2,java,93148166,1050
13,1,grep,5929709,1050
13,2,java,92011750,1050
14,1,java,92501750,1050
14,2,grep,5941333,1050
15,1,grep,5808709,1050
15,2,java,92589208,1050
16,1,java,91227125,1050
16,2,grep,6069875,1050
17,1,java,92318916,1050
17,2,grep,5890583,1050
18,1,grep,5102875,1050
18,2,java,89040167,1050
19,1,grep,5805625,1050
19,2,java,90677416,1050
20,1,java,89324291,1050
20,2,grep,6116417,1050
