iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,5293334,644
1,2,java,62916417,644
2,1,grep,5502583,644
2,2,java,71512750,644
3,1,grep,5903667,644
3,2,java,60537792,644
4,1,grep,5598083,644
4,2,java,73518542,644
5,1,grep,5674375,644
5,2,java,61558875,644
6,1,java,72998791,644
6,2,grep,6149125,644
7,1,grep,5380750,644
7,2,java,72845958,644
8,1,grep,5545209,644
8,2,java,70341833,644
9,1,grep,5431292,644
9,2,java,69523084,644
10,1,grep,5609000,644
10,2,java,60264125,644
11,1,grep,5591250,644
11,2,java,73533750,644
12,1,grep,6171209,644
12,2,java,72953875,644
13,1,grep,5458000,644
13,2,java,73109042,644
14,1,java,74235917,644
14,2,grep,5820167,644
15,1,grep,5138458,644
15,2,java,60325042,644
16,1,java,62362459,644
16,2,grep,5586042,644
17,1,java,61473250,644
17,2,grep,5629709,644
18,1,grep,5019459,644
18,2,java,60523708,644
19,1,grep,5392708,644
19,2,java,60604875,644
20,1,java,61211375,644
20,2,grep,5490583,644
