iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,5159083,644
1,2,java,90422000,644
2,1,grep,5958417,644
2,2,java,97925958,644
3,1,grep,5593750,644
3,2,java,92766208,644
4,1,grep,5742542,644
4,2,java,95893292,644
5,1,grep,5646708,644
5,2,java,92448333,644
6,1,java,98584208,644
6,2,grep,5153375,644
7,1,grep,5234083,644
7,2,java,96163042,644
8,1,grep,5613416,644
8,2,java,95725833,644
9,1,grep,5352875,644
9,2,java,95927375,644
10,1,grep,5700000,644
10,2,java,95870334,644
11,1,grep,6056250,644
11,2,java,93294542,644
12,1,grep,5865750,644
12,2,java,94467625,644
13,1,grep,5831458,644
13,2,java,98248542,644
14,1,java,94130500,644
14,2,grep,5724458,644
15,1,grep,4828833,644
15,2,java,92685292,644
16,1,java,93710250,644
16,2,grep,5540792,644
17,1,java,96507625,644
17,2,grep,5381333,644
18,1,grep,4680375,644
18,2,java,95676458,644
19,1,grep,5545458,644
19,2,java,95725125,644
20,1,java,92456208,644
20,2,grep,5563916,644
