iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,4783500,14915
1,2,java,87846583,14915
2,1,grep,5638875,14915
2,2,java,93007417,14915
3,1,grep,5824167,14915
3,2,java,86747959,14915
4,1,grep,5798875,14915
4,2,java,84236208,14915
5,1,grep,5479833,14915
5,2,java,88198875,14915
6,1,java,83625500,14915
6,2,grep,5605708,14915
7,1,grep,4714583,14915
7,2,java,89607583,14915
8,1,grep,6055000,14915
8,2,java,85413083,14915
9,1,grep,5924875,14915
9,2,java,86893292,14915
10,1,grep,5740666,14915
10,2,java,90230875,14915
11,1,grep,5812958,14915
11,2,java,97756542,14915
12,1,grep,5811625,14915
12,2,java,85835041,14915
13,1,grep,6331333,14915
13,2,java,87355666,14915
14,1,java,85042750,14915
14,2,grep,5792417,14915
15,1,grep,5366292,14915
15,2,java,91359083,14915
16,1,java,87399875,14915
16,2,grep,5761708,14915
17,1,java,87193792,14915
17,2,grep,5490084,14915
18,1,grep,4826417,14915
18,2,java,81878500,14915
19,1,grep,5739084,14915
19,2,java,88575334,14915
20,1,java,84429791,14915
20,2,grep,6138292,14915
