iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,9072333,5152
1,2,java,102124375,5152
2,1,grep,10042250,5152
2,2,java,101635125,5152
3,1,grep,9385000,5152
3,2,java,101444500,5152
4,1,grep,9581083,5152
4,2,java,101333125,5152
5,1,grep,9172042,5152
5,2,java,106880917,5152
6,1,java,107128583,5152
6,2,grep,10105292,5152
7,1,grep,9577708,5152
7,2,java,106568833,5152
8,1,grep,9633334,5152
8,2,java,106195416,5152
9,1,grep,9632458,5152
9,2,java,110866041,5152
10,1,grep,9673417,5152
10,2,java,102733834,5152
11,1,grep,9764542,5152
11,2,java,102198041,5152
12,1,grep,9576542,5152
12,2,java,101347667,5152
13,1,grep,9512833,5152
13,2,java,98483417,5152
14,1,java,101665917,5152
14,2,grep,9259125,5152
15,1,grep,8443583,5152
15,2,java,100692292,5152
16,1,java,99715917,5152
16,2,grep,8834875,5152
17,1,java,106906584,5152
17,2,grep,9346583,5152
18,1,grep,8553666,5152
18,2,java,98868583,5152
19,1,grep,9101333,5152
19,2,java,100003166,5152
20,1,java,97913542,5152
20,2,grep,9090916,5152
