iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,21505584,20608
1,2,java,624225334,20608
2,1,grep,22239667,20608
2,2,java,615409209,20608
3,1,grep,20667250,20608
3,2,java,613484458,20608
4,1,grep,21204125,20608
4,2,java,614595458,20608
5,1,grep,21415500,20608
5,2,java,710901417,20608
6,1,java,630210291,20608
6,2,grep,22135375,20608
7,1,grep,21644042,20608
7,2,java,626858459,20608
8,1,grep,21345917,20608
8,2,java,613363292,20608
9,1,grep,20935250,20608
9,2,java,616967375,20608
10,1,grep,21946958,20608
10,2,java,634082750,20608
11,1,grep,22063250,20608
11,2,java,617600000,20608
12,1,grep,21747125,20608
12,2,java,624163541,20608
13,1,grep,21436875,20608
13,2,java,606193083,20608
14,1,java,724450250,20608
14,2,grep,21669417,20608
15,1,grep,20321000,20608
15,2,java,607111334,20608
16,1,java,613057709,20608
16,2,grep,21340375,20608
17,1,java,604398042,20608
17,2,grep,20985583,20608
18,1,grep,20668125,20608
18,2,java,607970708,20608
19,1,grep,21298959,20608
19,2,java,605647209,20608
20,1,java,604132667,20608
20,2,grep,21010875,20608
