iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,5582458,644
1,2,java,91040875,644
2,1,grep,6394375,644
2,2,java,106487417,644
3,1,grep,6174459,644
3,2,java,90550167,644
4,1,grep,6165917,644
4,2,java,91180500,644
5,1,grep,5908833,644
5,2,java,91808291,644
6,1,java,93574208,644
6,2,grep,5773875,644
7,1,grep,5552834,644
7,2,java,94011209,644
8,1,grep,6093500,644
8,2,java,93848083,644
9,1,grep,5774791,644
9,2,java,93419000,644
10,1,grep,6126583,644
10,2,java,93785084,644
11,1,grep,6268667,644
11,2,java,94566667,644
12,1,grep,6192041,644
12,2,java,94301334,644
13,1,grep,6035750,644
13,2,java,94039917,644
14,1,java,93200625,644
14,2,grep,5946125,644
15,1,grep,5529792,644
15,2,java,93255458,644
16,1,java,93805208,644
16,2,grep,6063292,644
17,1,java,93389083,644
17,2,grep,5707792,644
18,1,grep,5391250,644
18,2,java,90479792,644
19,1,grep,5909292,644
19,2,java,92496917,644
20,1,java,90715916,644
20,2,grep,5843500,644
